Country,Year,File,OriginalURL,Language
Singapore,2013,Singapore_2013_AnnexA.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Singapore_2013_AnnexA.pdf,EN
Singapore,2016,singapore_2016_cybersecuritystrategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/singapore_2016_cybersecuritystrategy.pdf,EN
Belgium,2012,Belgium_2012_Orig_Fr_cybersecustra_fr.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Belgium_2012_Orig_Fr_cybersecustra_fr.pdf,FR
Belgium,2012,Belgium_2012_Orig_NL_cybersecustra_nl.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Belgium_2012_Orig_NL_cybersecustra_nl.pdf,NL
Malaysia,2006,Malaysia_2006_NCSP-Policy2.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malaysia_2006_NCSP-Policy2.pdf,EN
Slovakia,2008,Slovakia_2008_National_Strategy_for_ISEC.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Slovakia_2008_National_Strategy_for_ISEC.pdf,EN
Slovakia,Unknown,SLOVAKIA_NCSS%20-2.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/SLOVAKIA_NCSS%20-2.pdf,EN
Bosnia and Herzegovina,2014,BosniaHerzegovina_2014_akcioni_plan2014.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/BosniaHerzegovina_2014_akcioni_plan2014.pdf,BS
Malta,2014,Malta_2014_Digital%20Malta%202014%20-%202020.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Malta_2014_Digital%20Malta%202014%20-%202020.pdf,EN
Malta,2016,Mita%20_Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Mita%20_Malta%20Cyber%20Security%20Strategy%20-%20Book.pdf,EN
Slovenia,2016,Slovenia_2016_Cyber_Security_Strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Slovenia_2016_Cyber_Security_Strategy.pdf,EN
Brazil,2008,Brazil_2008_Orig.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Brazil_2008_Orig.pdf,PT
Brazil,2010,Brazil_2010_Orig_2_Guia_SICI.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Brazil_2010_Orig_2_Guia_SICI.pdf,PT
Brazil,2012,Brazil_2012_Orig.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Brazil_2012_Orig.pdf,PT
Brazil,2012,Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Brazil_2012_Orig_EGTI_2013-2015_v1.pdf,PT
Mauritania,2011,Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Mauritania_2011_Orig_FR_National%20Cyber%20Security%20Strategy%20-%202011%20-%20FR.pdf,FR
South Africa,2010,SouthAfrica_2010_100219cybersecurity.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/SouthAfrica_2010_100219cybersecurity.pdf,EN
Brunei Darrussalam,2010,Brunei_2010_unpan042980.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Brunei_2010_unpan042980.pdf,EN
Mauritius,2014,Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Mauritius_2014_National%20Cyber%20Security%20Strategy%20-%202014%20-%20EN.pdf,EN
Spain,2013,Spain_2013_NCSS_ESen.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Spain_2013_NCSS_ESen.pdf,EN
Canada,2010,Canada_2010_cbr-scrt-strtgy-eng.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Canada_2010_cbr-scrt-strtgy-eng.pdf,EN
Micronesia,2012,Micronesia_2012_ict-policy2012.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Micronesia_2012_ict-policy2012.pdf,EN
Sweden,2006,Sweden_2006_Strategy_Internet_security_2006_12_July_2006.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Sweden_2006_Strategy_Internet_security_2006_12_July_2006.pdf,EN
Sweden,2017,SEDEN%20IN%20SWEDISH-NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/SEDEN%20IN%20SWEDISH-NCSS.pdf,SV
Chile,Unknown,Chile_NCSP%20%28ENG%29.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Chile_NCSP%20%28ENG%29.pdf,EN
Moldova,2013,Moldova_2013_strateg_857_en.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Moldova_2013_strateg_857_en.pdf,EN
Switzerland,2012,Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Switzerland_2012_National_strategy_for_the_protection_of_Switzerland_against_cyber_risks-EN.pdf,EN
China,2006,China_2006.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/China_2006.pdf,EN
Montenegro,2013,Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Montenegro_2013_Cyber%20Security%20Strategy%20for%20Montenegro.pdf,EN
Trinidad and Tobago,2012,TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/TrinidadTobago_2012_National_Cyber_Security%20Strategy_Final.pdf,EN
Colombia,2011,Colombia_2011_articles-3510_documento.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Colombia_2011_articles-3510_documento.pdf,EN
Morocco,2013,Morocco_2013_Maroc_CyberSecurity_2013_ENG.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Morocco_2013_Maroc_CyberSecurity_2013_ENG.pdf,EN
Croatia,2015,CR_NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/CR_NCSS.pdf,HR
Croatia,2015,Croatia%20CR%20NCSS%20EN.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Croatia%20CR%20NCSS%20EN.pdf,EN
Netherlands,2013,Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Netherlands_2013_national-cyber-security-strategy-2_tcm92-520278.pdf,EN
Netherlands,2012,Netherlands_2012_NDL-Cyber_StrategyEng.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Netherlands_2012_NDL-Cyber_StrategyEng.pdf,EN
Uganda,2014,Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Uganda_2014_National%20Information%20Security%20Policy%20v1.0_0.pdf,EN
Cyprus,2012,Cyprus_2012_CY%20NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Cyprus_2012_CY%20NCSS.pdf,EN
New Zealand,2011,NewZealand_2011_nz-cyber-security-strategy-june-2011_0.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/NewZealand_2011_nz-cyber-security-strategy-june-2011_0.pdf,EN
New Zealand,2015,nz-cyber-security-action-plan-december-2015.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/nz-cyber-security-action-plan-december-2015.pdf,EN
New Zealand,2015,nz-cyber-security-cybercrime-plan-december-2015.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/nz-cyber-security-cybercrime-plan-december-2015.pdf,EN
New Zealand,2015,nz-cyber-security-strategy-december-2015.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/nz-cyber-security-strategy-december-2015.pdf,EN
New Zealand,2015,nz-cyber-security-summary-december-2015.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/nz-cyber-security-summary-december-2015.pdf,EN
United Kingdom,2011,UK_2011_uk-cyber-security-strategy-final.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/UK_2011_uk-cyber-security-strategy-final.pdf,EN
United Kingdom,Unknown,national_cyber_security_strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/national_cyber_security_strategy.pdf,EN
Czech Republic,2012,Czech_2012_20120209strategieprooblastkbnbuen.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Czech_2012_20120209strategieprooblastkbnbuen.pdf,EN
Czech Republic,Unknown,National%20Cyber%20Security%20Strategy%20-%20Czech%20Republic.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/National%20Cyber%20Security%20Strategy%20-%20Czech%20Republic.pdf,EN
Nigeria,2014,Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Nigeria_2014_NATIONAL_CYBESECURITY_STRATEGY.pdf,EN
United States,2003,UnitedStates_2003_cyberspace_strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/UnitedStates_2003_cyberspace_strategy.pdf,EN
United States,2009,UnitedStates_2009_Cyberspace_Policy_Review_final_0.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/UnitedStates_2009_Cyberspace_Policy_Review_final_0.pdf,EN
United States,2015,UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/UnitedStates_2015_Final_2015_DoD_CYBER_STRATEGY_for_web.pdf,EN
Denmark,2015,Denmark_2015_DK_NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Denmark_2015_DK_NCSS.pdf,EN
Denmark,2016,Danish_NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Danish_NCSS.pdf,EN
Norway,2012,Norway_2012_Cyber_Security_Strategy_Norway.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Norway_2012_Cyber_Security_Strategy_Norway.pdf,EN
Uruguay,2014,Uruguay_2014_Orig_Esp_cons_min_827.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Uruguay_2014_Orig_Esp_cons_min_827.pdf,ES
Egypt,2012,Egypt_2012.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Egypt_2012.pdf,EN
Panama,2013,Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Panama_2013_Orig_ESP_GacetaNo_27289a_20130517.pdf,ES
Estonia,2014,Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Estonia_2014_cyber_security_strategy_2014-2017_public_version.pdf,EN
Philippines,2005,Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Philippine_2005_National%20Cyber%20Security%20Plan%202005.pdf,EN
Finland,2013,Finland_2013_s_Cyber_Security_Strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Finland_2013_s_Cyber_Security_Strategy.pdf,EN
Poland,2013,Poland_2013_copy_of_PO_NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Poland_2013_copy_of_PO_NCSS.pdf,EN
France,2011,France_2011_2011-02-15_Information_system_defence_and_security_-_France_s_strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/France_2011_2011-02-15_Information_system_defence_and_security_-_France_s_strategy.pdf,EN
France,Unknown,NCSS_FRANCE.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/NCSS_FRANCE.pdf,EN
Portugal,2015,Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Portuguese_National_Cyberspace_Security_Strategy_EN.pdf,EN
Georgia,2012,Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Georgia_2012_National%20Cyber%20Security%20Strategy%20of%20Georgia_ENG.pdf,EN
Qatar,2014,Qatar_2014_national_cyber_security_strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Qatar_2014_national_cyber_security_strategy.pdf,EN
Germany,2011,Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Germany_2011_Cyber_Security_Strategy_for_Germany.pdf,EN
Greece,Unknown,Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Greek_National_Cyber_Strategy%20IN%20GREEK_ver%202.pdf,EL
Hungary,2013,Hungary_2013_HU_NCSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Hungary_2013_HU_NCSS.pdf,EN
Iceland,2015,Iceland_2015_NationalCyberSecuritySummary.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Iceland_2015_NationalCyberSecuritySummary.pdf,EN
India,2013,India_2013_National_cyber_security_policy-2013%281%29.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/India_2013_National_cyber_security_policy-2013%281%29.pdf,EN
Ireland,2015,Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Ireland_2015_NationalCyberSecurityStrategy20152017.pdf,EN
Israel,2011,Israel_2011_Advancing%20National%20Cyberspace%20Capabilities.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Israel_2011_Advancing%20National%20Cyberspace%20Capabilities.pdf,EN
Italy,2013,Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Italy_2013_italian-national-strategic-framework-for-cyberspace-security.pdf,EN
Jamaica,2015,Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Jamaica_2015_Jamaica%20National%20Cyber%20Security%20Strategy.pdf,EN
Japan,2015,Japan_2015_cs-strategy-en.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Japan_2015_cs-strategy-en.pdf,EN
Jordan,2012,Jordan_2012_NIACSS.pdf,https://www.itu.int/en/ITU-D/Cybersecurity/Documents/National_Strategies_Repository/Jordan_2012_NIACSS.pdf,EN
